0,2.58124777e-01
1e-06,2.64506265e-01
2e-06,2.63076838e-01
3e-06,2.61534097e-01
4e-06,2.60411027e-01
5e-06,2.59680835e-01
6e-06,2.59199884e-01
7e-06,2.58856557e-01
8e-06,2.58608642e-01
9e-06,2.58436206e-01
1e-05,2.58319600e-01
1.1e-05,2.58237820e-01
1.2e-05,2.58175088e-01
1.3e-05,2.58122564e-01
1.4e-05,2.58077454e-01
1.5e-05,2.58038929e-01
1.6e-05,2.58006851e-01
1.7e-05,2.57980263e-01
1.8e-05,2.57958309e-01
1.9e-05,2.57939826e-01
2e-05,2.57924191e-01
2.1e-05,2.57910680e-01
2.2e-05,2.57899113e-01
2.3e-05,2.57888968e-01
2.4e-05,2.57880033e-01
2.5e-05,2.57872311e-01
2.6e-05,2.57865695e-01
2.7e-05,2.57859794e-01
2.8e-05,2.57854675e-01
2.9e-05,2.57850040e-01
3e-05,2.57846001e-01
3.1e-05,2.57842300e-01
3.2e-05,2.57839070e-01
3.3e-05,2.57836072e-01
3.4e-05,2.57833474e-01
3.5e-05,2.57831026e-01
3.6e-05,2.57828907e-01
3.7e-05,2.57826881e-01
3.8e-05,2.57825138e-01
3.9e-05,2.57823455e-01
4e-05,2.57822015e-01
4.1e-05,2.57820600e-01
4.2e-05,2.57819396e-01
4.3e-05,2.57818200e-01
4.4e-05,2.57817188e-01
4.5e-05,2.57816160e-01
4.6e-05,2.57815317e-01
4.7e-05,2.57814429e-01
4.8e-05,2.57813697e-01
4.9e-05,2.57812941e-01
5e-05,2.57812317e-01
5.1e-05,2.57811653e-01
5.2e-05,2.57811126e-01
5.3e-05,2.57810526e-01
5.4e-05,2.57810075e-01
5.5e-05,2.57809552e-01
5.6e-05,2.57809156e-01
5.7e-05,2.57808689e-01
5.8e-05,2.57808348e-01
5.9e-05,2.57807925e-01
6e-05,2.57807622e-01
6.1e-05,2.57807244e-01
6.2e-05,2.57806981e-01
6.3e-05,2.57806636e-01
6.4e-05,2.57806400e-01
6.5e-05,2.57806095e-01
6.6e-05,2.57805883e-01
6.7e-05,2.57805588e-01
6.8e-05,2.57805409e-01
6.9e-05,2.57805145e-01
7e-05,2.57804982e-01
7.1e-05,2.57804724e-01
7.2e-05,2.57804583e-01
7.3e-05,2.57804347e-01
7.4e-05,2.57804220e-01
7.5e-05,2.57803995e-01
7.6e-05,2.57803882e-01
7.7e-05,2.57803676e-01
7.8e-05,2.57803568e-01
7.9e-05,2.57803370e-01
8e-05,2.57803279e-01
8.1e-05,2.57803092e-01
8.2e-05,2.57802999e-01
8.3e-05,2.57802827e-01
8.4e-05,2.57802736e-01
8.5e-05,2.57802567e-01
8.6e-05,2.57802494e-01
8.7e-05,2.57802330e-01
8.8e-05,2.57802267e-01
8.9e-05,2.57802106e-01
9e-05,2.57802048e-01
9.1e-05,2.57801888e-01
9.2e-05,2.57801834e-01
9.3e-05,2.57801674e-01
9.4e-05,2.57801631e-01
9.5e-05,2.57801485e-01
9.6e-05,2.57801439e-01
9.7e-05,2.57801292e-01
9.8e-05,2.57801250e-01
9.9e-05,2.57801109e-01
0.0001,2.57801066e-01
0.000101,2.57800925e-01
0.000102,2.57800893e-01
0.000103,2.57800753e-01
0.000104,2.57800719e-01
0.000105,2.57800586e-01
0.000106,2.57800560e-01
0.000107,2.57800422e-01
0.000108,2.57800387e-01
0.000109,2.57800256e-01
0.00011,2.57800236e-01
0.000111,2.57800100e-01
0.000112,2.57800080e-01
0.000113,2.57799946e-01
0.000114,2.57799930e-01
0.000115,2.57799797e-01
0.000116,2.57799777e-01
0.000117,2.57799646e-01
0.000118,2.57799631e-01
0.000119,2.57799509e-01
0.00012,2.57799487e-01
0.000121,2.57799363e-01
0.000122,2.57799343e-01
0.000123,2.57799223e-01
0.000124,2.57799197e-01
0.000125,2.57799086e-01
0.000126,2.57799063e-01
0.000127,2.57798943e-01
0.000128,2.57798926e-01
0.000129,2.57798813e-01
0.00013,2.57798789e-01
0.000131,2.57798680e-01
0.000132,2.57798659e-01
0.000133,2.57798540e-01
0.000134,2.57798522e-01
0.000135,2.57798417e-01
0.000136,2.57798393e-01
0.000137,2.57798283e-01
0.000138,2.57798265e-01
0.000139,2.57798158e-01
0.00014,2.57798140e-01
0.000141,2.57798026e-01
0.000142,2.57798008e-01
0.000143,2.57797892e-01
0.000144,2.57797890e-01
0.000145,2.57797774e-01
0.000146,2.57797762e-01
0.000147,2.57797652e-01
0.000148,2.57797630e-01
0.000149,2.57797528e-01
0.00015,2.57797517e-01
0.000151,2.57797397e-01
0.000152,2.57797396e-01
0.000153,2.57797281e-01
0.000154,2.57797269e-01
