0,9.86160675e-01
1e-06,9.86157060e-01
2e-06,9.86154977e-01
3e-06,9.86158074e-01
4e-06,9.86157988e-01
5e-06,9.86157446e-01
6e-06,9.86157284e-01
7e-06,9.86157185e-01
8e-06,9.86157169e-01
9e-06,9.86157152e-01
1e-05,9.86157162e-01
1.1e-05,9.86157180e-01
1.2e-05,9.86157225e-01
1.3e-05,9.86157258e-01
1.4e-05,9.86157291e-01
1.5e-05,9.86157327e-01
1.6e-05,9.86157370e-01
1.7e-05,9.86157415e-01
1.8e-05,9.86157462e-01
1.9e-05,9.86157515e-01
2e-05,9.86157580e-01
2.1e-05,9.86157635e-01
2.2e-05,9.86157692e-01
2.3e-05,9.86157755e-01
2.4e-05,9.86157821e-01
2.5e-05,9.86157886e-01
2.6e-05,9.86157955e-01
2.7e-05,9.86158026e-01
2.8e-05,9.86158096e-01
2.9e-05,9.86158169e-01
3e-05,9.86158243e-01
3.1e-05,9.86158321e-01
3.2e-05,9.86158400e-01
3.3e-05,9.86158481e-01
3.4e-05,9.86158567e-01
3.5e-05,9.86158652e-01
3.6e-05,9.86158743e-01
3.7e-05,9.86158836e-01
3.8e-05,9.86158932e-01
3.9e-05,9.86159031e-01
4e-05,9.86159136e-01
4.1e-05,9.86159240e-01
4.2e-05,9.86159347e-01
4.3e-05,9.86159456e-01
4.4e-05,9.86159567e-01
4.5e-05,9.86159680e-01
4.6e-05,9.86159798e-01
4.7e-05,9.86159916e-01
4.8e-05,9.86160034e-01
4.9e-05,9.86160158e-01
5e-05,9.86160282e-01
5.1e-05,9.86160410e-01
5.2e-05,9.86160541e-01
5.3e-05,9.86160677e-01
5.4e-05,9.86160814e-01
5.5e-05,9.86160954e-01
5.6e-05,9.86161097e-01
5.7e-05,9.86161246e-01
5.8e-05,9.86161399e-01
5.9e-05,9.86161555e-01
6e-05,9.86161714e-01
6.1e-05,9.86161874e-01
6.2e-05,9.86162040e-01
6.3e-05,9.86162208e-01
6.4e-05,9.86162377e-01
6.5e-05,9.86162549e-01
6.6e-05,9.86162725e-01
6.7e-05,9.86162903e-01
6.8e-05,9.86163083e-01
6.9e-05,9.86163268e-01
7e-05,9.86163453e-01
7.1e-05,9.86163644e-01
7.2e-05,9.86163840e-01
7.3e-05,9.86164039e-01
7.4e-05,9.86164240e-01
7.5e-05,9.86164444e-01
7.6e-05,9.86164655e-01
7.7e-05,9.86164868e-01
7.8e-05,9.86165086e-01
7.9e-05,9.86165307e-01
8e-05,9.86165531e-01
8.1e-05,9.86165758e-01
8.2e-05,9.86165989e-01
8.3e-05,9.86166220e-01
8.4e-05,9.86166456e-01
8.5e-05,9.86166697e-01
8.6e-05,9.86166939e-01
8.7e-05,9.86167184e-01
8.8e-05,9.86167434e-01
8.9e-05,9.86167686e-01
9e-05,9.86167944e-01
9.1e-05,9.86168208e-01
9.2e-05,9.86168471e-01
9.3e-05,9.86168742e-01
9.4e-05,9.86169015e-01
9.5e-05,9.86169292e-01
9.6e-05,9.86169575e-01
9.7e-05,9.86169860e-01
9.8e-05,9.86170151e-01
